Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any method (% of married women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2015 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Afghanistan,AFG,33753499,3.121341229,652860,NA,20114103581,600,77739869000,2300,NA,62.659,5.405,97.415,22.5,50.5,72.7,NA,62,NA,53.28514099,0.642329991,0.1,12084.4,0.943409015,NA,0.297971775,NA,19134221645,1.451314661,2.447563001,20.63432272,22.12404249,NA,NA,NA,10.13111817,4,NA,0.994575823,58.39109599,NA,43.34641959,100,2596917266,0.292136691,-281739,228991809.2,169146608,126.630723,566.8811297,-166983554.9,-0.661709165
Albania,ALB,2880703,-0.291205787,28750,NA,12635760849,4390,33981401261,11800,7.7,78.644,1.613,20.276,NA,NA,9.6,NA,97,107.2767868,103.0848999,0.982420027,0.1,7891.875,12.37701425,NA,1.665218525,NA,11386853113,2.218726375,0.56399135,19.78021442,21.763681,27.26739115,44.53361519,25.8190485,24.7381502,5,NA,1.162303864,117.9871153,1.634190367,54.61561626,100,8447046911,10.24058354,-12240,153312400.5,989578334.8,116.3466014,3952.803574,-910256726,1.896174026
Algeria,DZA,39543154,1.999946051,2381741,NA,2.15807E+11,5460,5.41234E+11,13690,NA,75.622,3.041,11.888,NA,NA,25.3,NA,95,98.12547302,NA,NA,0.1,19560,20.93967563,NA,3.951960939,NA,1.87494E+11,3.2,-4.986744795,10.5327897,32.75650093,20.52814168,32.67648091,51.77961256,NA,12,0.076813038,6.270242856,109.3176407,0.233281066,46.06550957,100,4671396333,0.376339888,-36371,72128990.59,-537792920.9,1.79879423,4741.49977,638915215.3,4.784447007
American Samoa,ASM,51368,-1.639270188,200,NA,NA,NA,NA,NA,NA,NA,NA,43.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.8,NA,NA,NA,NA,673000000,3.149606299,1.469732765,NA,NA,63.59583952,98.81129272,NA,NA,NA,NA,NA,NA,NA,156.6121842,100,NA,NA,-1629,NA,NA,NA,13101.54182,NA,NA
Andorra,AND,71746,0.17437769,470,NA,NA,NA,NA,NA,NA,NA,NA,7.402,NA,100,3.6,NA,96,66.09499359,92.54579926,NA,NA,160,NA,NA,6.485769241,NA,2789881259,1.434140395,0.660588959,0.51342011,9.981268716,NA,NA,NA,NA,NA,NA,NA,99.42853957,22.64484328,49.60784606,100,NA,NA,-232,NA,NA,NA,38885.53032,NA,NA
Angola,AGO,28127721,3.617677518,1246700,NA,1.10414E+11,3930,1.90283E+11,6760,NA,60.655,5.774,148.074,NA,NA,87.9,19,51,NA,NA,NA,1.8,693826.9,128.2363901,NA,1.125185364,NA,90496420507,0.943571561,-3.518385346,9.122534372,41.93309219,29.75459795,33.13391814,34.20249083,18.77664497,8,NA,3.105426293,49.36244924,12.60448602,59.53163639,100,48771532654,9.984958464,74170,1252909012,10028215163,13.51193712,3217.33924,-10813085379,9.355972155
Antigua and Barbuda,ATG,89941,0.786935419,440,NA,1301652850,14470,1766297473,19640,NA,77.913,1.567,34.834,NA,100,10.9,NA,91,100.3881989,117.027771,0.990040004,NA,84.5,326.7626263,NA,5.450239602,NA,1437755556,1.445155299,2.788170374,1.445411315,15.92502718,70.69120079,59.35588907,NA,NA,9,NA,NA,195.6860129,0,35.81971901,100,NA,NA,60,52822644.38,114024660.1,16.56641587,15985.54114,-99949131.34,0.968993459
Argentina,ARG,43131966,1.078001344,2780400,NA,5.4328E+11,12600,8.4896E+11,19680,NA,76.76,2.301,65.395,NA,99.6,11.8,NA,89,106.0531311,107.5490723,1.028380036,0.4,290970,15.7800288,NA,4.301913806,NA,5.94749E+11,2.731159828,26.5799916,5.156685902,23.15305614,10.70565205,11.78057404,17.07070488,22.1490803,14,9.438368633,0.850128583,142.9639551,9.225691782,19.67030526,100,1.77185E+11,3.067548607,5522,685001365.9,11758994011,-0.437494568,13789.06042,-10883760784,NA
Armenia,ARM,2878595,-0.392995249,29740,NA,11738591315,4080,30505448341,10600,8.2,74.436,1.602,24.66,NA,NA,14.5,NA,97,94.22637939,85.79370117,1.037989974,0.2,3295.2,3.225347652,NA,1.85625279,NA,10553337518,3.199999999,1.213909905,17.22312003,25.70869944,29.72539121,41.95668313,20.73053013,23.09249267,4,NA,4.239225786,120.3535058,5.651814377,44.76309027,100,8831021221,14.07469273,-27283,363788468.8,184127986.3,120.7116704,3666.141822,-155376062,3.731691193
Aruba,ABW,104257,0.637959162,180,NA,2639315168,25320,3718236361,35660,NA,75.683,1.972,28.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,2962907263,-0.623625902,6.831286936,0.012519788,12.46882309,72.85291285,72.98075045,21.53891957,NA,NA,NA,NA,135.2427175,4.968985791,53.32600247,100,NA,NA,177,101227532.4,-26881396.99,NA,28419.26453,37200481.56,0.474763597
